channel_id	name	weight
UCAoMPWcQKA_9Af5YhWdrZgw	MyLifeAsEva	2
UC56D-IHcUvLVFTX_8NpQMXg	Brent Rivera	1
UCTTJMptGhfJA67e40DlqbNw	Karina Garcia	3
UCJi_befq0YDYJ9fCeyHxJbg	MayBaby	3
UCXUrDDdmQHni2UTSNyIh4ag	jennxpenn	3
UCe2ba_7LwQdNK5BKFSLm41Q	Tessa Brooks	1
UCNzwsYxGc_AQSe5apbkIF6Q	Hunter March	2
UC7qnMkgsIMv3f23KNztXzyw	CACI TWINS	3
UCG8rbF3g2AMX70yOd8vqIZg	Logan Paul	2
UCHdos0HAIEhIMqUc9L3vh1w	Dorkly	7
UCoal_hpPIPAnWlG-kWHLheA	The Drawfee Channel	3
UCC8zWIx8aBQme-x1nX9iZ0A	Dimension 20	1
UCHi0PjvDEqIHNt_5Hytj4tw	Nikki Limo	7
UCN9wHzrHRdKVzCSeV-5RuzA	Shane Dawson TV	12
UC5R_gQd9t0iXzGM1505RsNQ	BREEessrig	8
UC6Je0KLSDuKLfKs1lEBzKrQ	Mike Diva	6
UCFari28bQmSVIbmzDjbiS7Q	Strawburry17	4
UCoEHWT2t52F0CcAxtqSmjcg	Joe Nation	4
UCvphW8g3rf4m8LnOarxpU1A	Charles and Allie	9
UCWN9W2OXPWFMVpB8HClLD-w	SteveGreeneComedy	9
UCdoLeDxfcGwvj_PRl7TLTzQ	Onision	5
UCB_3W3v9fV_3Y_g5dmcOlAw	Jess Lizama	4
