source	target	interaction	directed
UCMDQxm7cUx3yXkfeHa5zJIQ	UCEN58iXQg82TXgsDCjWqIkg	pp	true
UCMDQxm7cUx3yXkfeHa5zJIQ	UCfFyYRYslvuhwMDnx6KjUvw	pp	true
UCMDQxm7cUx3yXkfeHa5zJIQ	UCeNZlh03MyUkjRlLFpVQxsg	pp	true
UCUZHFZ9jIKrLroW8LcyJEQQ	UCkRfArvrzheW2E7b6SVT7vQ	pp	true
UCUZHFZ9jIKrLroW8LcyJEQQ	UCMDQxm7cUx3yXkfeHa5zJIQ	pp	true
UCUZHFZ9jIKrLroW8LcyJEQQ	UCBR8-60-B28hp2BmDPdntcQ	pp	true
UCkRfArvrzheW2E7b6SVT7vQ	UCMDQxm7cUx3yXkfeHa5zJIQ	pp	true
UCkRfArvrzheW2E7b6SVT7vQ	UCGg-UqjRgzhYDPJMr-9HXCg	pp	true
UCkRfArvrzheW2E7b6SVT7vQ	UCBR8-60-B28hp2BmDPdntcQ	pp	true
UCkRfArvrzheW2E7b6SVT7vQ	UCEN58iXQg82TXgsDCjWqIkg	pp	true
UCkRfArvrzheW2E7b6SVT7vQ	UCqVDpXKLmKeBU_yyt_QkItQ	pp	true
UCeNZlh03MyUkjRlLFpVQxsg	UCBR8-60-B28hp2BmDPdntcQ	pp	true
UCeNZlh03MyUkjRlLFpVQxsg	UCMDQxm7cUx3yXkfeHa5zJIQ	pp	true
UCeNZlh03MyUkjRlLFpVQxsg	UCUZHFZ9jIKrLroW8LcyJEQQ	pp	true
UCeNZlh03MyUkjRlLFpVQxsg	UCkRfArvrzheW2E7b6SVT7vQ	pp	true
UCeNZlh03MyUkjRlLFpVQxsg	UCEN58iXQg82TXgsDCjWqIkg	pp	true
UCeNZlh03MyUkjRlLFpVQxsg	UCtVd0c0tGXuTSbU5d8cSBUg	pp	true
UCeNZlh03MyUkjRlLFpVQxsg	UCfFyYRYslvuhwMDnx6KjUvw	pp	true
UCEN58iXQg82TXgsDCjWqIkg	UCBR8-60-B28hp2BmDPdntcQ	pp	true
UCEN58iXQg82TXgsDCjWqIkg	UCMDQxm7cUx3yXkfeHa5zJIQ	pp	true
UCEN58iXQg82TXgsDCjWqIkg	UCkRfArvrzheW2E7b6SVT7vQ	pp	true
UCEN58iXQg82TXgsDCjWqIkg	UCUZHFZ9jIKrLroW8LcyJEQQ	pp	true
UCEN58iXQg82TXgsDCjWqIkg	UCeNZlh03MyUkjRlLFpVQxsg	pp	true
UCEN58iXQg82TXgsDCjWqIkg	UCgl9rHdm9KojNRWs56QI_hg	pp	true
UCEN58iXQg82TXgsDCjWqIkg	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCEN58iXQg82TXgsDCjWqIkg	UCwzySbzUWiKqG84jOnbeB1w	pp	true
UCtVd0c0tGXuTSbU5d8cSBUg	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCfFyYRYslvuhwMDnx6KjUvw	UCBR8-60-B28hp2BmDPdntcQ	pp	true
UCfFyYRYslvuhwMDnx6KjUvw	UCkRfArvrzheW2E7b6SVT7vQ	pp	true
UCfFyYRYslvuhwMDnx6KjUvw	UCeNZlh03MyUkjRlLFpVQxsg	pp	true
UCfFyYRYslvuhwMDnx6KjUvw	UCFJcu7Lj_qmYuPhMAerryUA	pp	true
UCfFyYRYslvuhwMDnx6KjUvw	UCSmyV6P8_ir9EV4Z4tYA2QA	pp	true
UCfFyYRYslvuhwMDnx6KjUvw	UCGn7dlcAmH44GqycKa_3ssA	pp	true
UCfFyYRYslvuhwMDnx6KjUvw	UCGnX8ABNZYuZrhzT-sJVaeg	pp	true
UCyF-6wI0EoKAe7nZqlIOrOA	UCh5Yo6HN5b2Hco70HosIzZA	pp	true
UCAn-f5AvAospCM1Jzgn9QHw	UCt84aUC9OG6di8kSdKzEHTQ	pp	true
UCAn-f5AvAospCM1Jzgn9QHw	UCP-Ng5SXUEt0VE-TXqRdL6g	pp	true
UCAn-f5AvAospCM1Jzgn9QHw	UCpVm7bg6pXKo1Pr6k5kxG9A	pp	true
UCAn-f5AvAospCM1Jzgn9QHw	UC_xYMXx_-mAzheKyEtwtCAQ	pp	true
UCAn-f5AvAospCM1Jzgn9QHw	UCrHXK2A9JtiexqwHuWGeSMg	pp	true
UCx2UPs9ulKLkJ9-7Dw8LiIg	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true
UCx2UPs9ulKLkJ9-7Dw8LiIg	UC08FMoIyKIiXzzw26J_6fdw	pp	true
UCtyYTpFBzWdoSFx2Gl2VNbQ	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCtyYTpFBzWdoSFx2Gl2VNbQ	UCWIzrKzN4KY6BPU8hsk880Q	pp	true
UCtyYTpFBzWdoSFx2Gl2VNbQ	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCtyYTpFBzWdoSFx2Gl2VNbQ	UCdIiCSqXuybzwGwJwrpHPqw	pp	true
UCIG1k8umaCIIrujZPzZPIMA	UCWmlRLAOpx9f1t_cVkBx8-g	pp	true
UCIG1k8umaCIIrujZPzZPIMA	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true
UCIG1k8umaCIIrujZPzZPIMA	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UC70QckdMkEtr9QHDhRn8-kw	UCJadKNYMahhqtdAhDZSy4cg	pp	true
UCCLyNDhxwpqNe3UeEmGHl8g	UCh5Yo6HN5b2Hco70HosIzZA	pp	true
UC7LeBTDzQhjcsEG9VjueUTg	UCEmCXnbNYz-MOtXi3lZ7W1Q	pp	true
UC7LeBTDzQhjcsEG9VjueUTg	UCivtfTLPQ52Gmr4vdwVoZXQ	pp	true
UC7LeBTDzQhjcsEG9VjueUTg	UCboO-orWDjoSrZ2yqJRQpBQ	pp	true
